Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating,Case Code - in,Case Code - mm
R_000001,R,10 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10 Ω 1% 0402 50V,Panasonic,ERJ-2RKF10R0X,1%,50V,0402,1005
R_000002,R,100 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 100 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1000X,1%,50V,0402,1005
R_000003,R,1 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1001X,1%,50V,0402,1005
R_000004,R,10 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1002X,1%,50V,0402,1005
R_000005,R,100 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 100 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1003X,1%,50V,0402,1005
R_000006,R,1 MΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1 MΩ 1% 0402 50V,Panasonic,ERJ-2RKF1004X,1%,50V,0402,1005
R_000007,R,10.2 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.2 Ω 1% 0402 50V,Panasonic,ERJ-2RKF10R2X,1%,50V,0402,1005
R_000008,R,102 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 102 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1020X,1%,50V,0402,1005
R_000009,R,1.02 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.02 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1021X,1%,50V,0402,1005
R_000010,R,10.2 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.2 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1022X,1%,50V,0402,1005
R_000011,R,102 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 102 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1023X,1%,50V,0402,1005
