Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series
R_ERJ-3EKF10R0V,R,10 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10 Ω 1% 0603 75V,Panasonic,ERJ-3EKF10R0V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1000V,R,100 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 100 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1000V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1001V,R,1 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1001V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1002V,R,10 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1002V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1003V,R,100 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 100 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1003V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1004V,R,1 MΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1 MΩ 1% 0603 75V,Panasonic,ERJ-3EKF1004V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF10R2V,R,10.2 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.2 Ω 1% 0603 75V,Panasonic,ERJ-3EKF10R2V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1020V,R,102 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 102 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1020V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1021V,R,1.02 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.02 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1021V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1022V,R,10.2 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.2 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1022V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1023V,R,102 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 102 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1023V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF10R5V,R,10.5 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.5 Ω 1% 0603 75V,Panasonic,ERJ-3EKF10R5V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1050V,R,105 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 105 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1050V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1051V,R,1.05 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.05 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1051V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1052V,R,10.5 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.5 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1052V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1053V,R,105 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 105 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1053V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF10R7V,R,10.7 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.7 Ω 1% 0603 75V,Panasonic,ERJ-3EKF10R7V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1070V,R,107 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 107 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1070V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1071V,R,1.07 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.07 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1071V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1072V,R,10.7 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.7 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1072V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1073V,R,107 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 107 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1073V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF11R0V,R,11 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11 Ω 1% 0603 75V,Panasonic,ERJ-3EKF11R0V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1100V,R,110 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 110 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1100V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1101V,R,1.1 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.1 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1101V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1102V,R,11 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1102V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1103V,R,110 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 110 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1103V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF11R3V,R,11.3 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.3 Ω 1% 0603 75V,Panasonic,ERJ-3EKF11R3V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1130V,R,113 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 113 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1130V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1131V,R,1.13 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.13 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1131V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1132V,R,11.3 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.3 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1132V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1133V,R,113 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 113 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1133V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF11R5V,R,11.5 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.5 Ω 1% 0603 75V,Panasonic,ERJ-3EKF11R5V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1150V,R,115 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 115 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1150V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1151V,R,1.15 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.15 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1151V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1152V,R,11.5 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.5 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1152V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1153V,R,115 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 115 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1153V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF11R8V,R,11.8 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.8 Ω 1% 0603 75V,Panasonic,ERJ-3EKF11R8V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1180V,R,118 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 118 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1180V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1181V,R,1.18 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.18 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1181V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1182V,R,11.8 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.8 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1182V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1183V,R,118 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 118 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1183V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF12R1V,R,12.1 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.1 Ω 1% 0603 75V,Panasonic,ERJ-3EKF12R1V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1210V,R,121 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 121 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1210V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1211V,R,1.21 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.21 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1211V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1212V,R,12.1 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.1 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1212V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1213V,R,121 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 121 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1213V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF12R4V,R,12.4 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.4 Ω 1% 0603 75V,Panasonic,ERJ-3EKF12R4V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1240V,R,124 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 124 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1240V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1241V,R,1.24 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.24 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1241V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1242V,R,12.4 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.4 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1242V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1243V,R,124 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 124 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1243V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF12R7V,R,12.7 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.7 Ω 1% 0603 75V,Panasonic,ERJ-3EKF12R7V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1270V,R,127 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 127 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1270V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1271V,R,1.27 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.27 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1271V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1272V,R,12.7 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.7 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1272V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1273V,R,127 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 127 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1273V,1%,75V,0603,1608,ERJ-3EK
