Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating
R_000001,R,10 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10 Ω 1% 0805 150V,Panasonic,ERJ-6ENF10R0V,1%,150V
R_000002,R,100 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 100 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1000V,1%,150V
R_000003,R,1 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1001V,1%,150V
R_000004,R,10 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1002V,1%,150V
R_000005,R,100 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 100 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1003V,1%,150V
R_000006,R,1 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1004V,1%,150V
R_000007,R,10.2 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.2 Ω 1% 0805 150V,Panasonic,ERJ-6ENF10R2V,1%,150V
R_000008,R,102 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 102 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1020V,1%,150V
R_000009,R,1.02 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.02 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1021V,1%,150V
R_000010,R,10.2 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.2 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1022V,1%,150V
