Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
C_CL31BB104KX7RN,C,100 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB104KX7R-01.pdf,CAP SMD 100 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB104KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB104KX7RN
C_CL31BB124KX7RN,C,120 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB124KX7R-01.pdf,CAP SMD 120 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB124KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB124KX7RN
C_CL31BB154KX7RN,C,150 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB154KX7R-01.pdf,CAP SMD 150 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB154KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB154KX7RN
C_CL31BB184KX7RN,C,180 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB184KX7R-01.pdf,CAP SMD 180 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB184KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB184KX7RN
C_CL31BB224KX7RN,C,220 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB224KX7R-01.pdf,CAP SMD 220 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB224KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB224KX7RN
C_CL31BB274KX7RN,C,270 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB274KX7R-01.pdf,CAP SMD 270 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB274KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB274KX7RN
C_CL31BB334KX7RN,C,330 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB334KX7R-01.pdf,CAP SMD 330 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB334KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB334KX7RN
C_CL31BB394KX7RN,C,390 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB394KX7R-01.pdf,CAP SMD 390 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB394KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB394KX7RN
C_CL31BB474KX7RN,C,470 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB474KX7R-01.pdf,CAP SMD 470 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB474KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB474KX7RN
C_CL31BB564KX7RN,C,560 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB564KX7R-01.pdf,CAP SMD 560 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB564KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB564KX7RN
C_CL31BB684KX7RN,C,680 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB684KX7R-01.pdf,CAP SMD 680 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB684KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB684KX7RN
C_CL31BB824KX7RN,C,820 nF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB824KX7R-01.pdf,CAP SMD 820 nF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB824KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB824KX7RN
C_CL31BB105KX7RN,C,1 µF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB105KX7R-01.pdf,CAP SMD 1 µF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB105KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB105KX7RN
C_CL31BB125KX7RN,C,1.2 µF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB125KX7R-01.pdf,CAP SMD 1.2 µF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB125KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB125KX7RN
C_CL31BB155KX7RN,C,1.5 µF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB155KX7R-01.pdf,CAP SMD 1.5 µF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB155KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB155KX7RN
C_CL31BB185KX7RN,C,1.8 µF,capacitor_footprints:C_1206_3216Metric,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdfBB185KX7R-01.pdf,CAP SMD 1.8 µF X7R 10% 1206 50V,Samsung Electro-Mechanics,CL31BB185KX7RN,X7R,10%,50V,1206,3216,CL31,https://www.trustedparts.com/en/search/CL31/CL31BB185KX7RN
