Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Maximum DC Current (A),Diode Type
D_MMSZ521BT1G,D,3.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 3.0 V,Onsemi,MMSZ521BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ521BT1G,0.5,Zener
D_MMSZ522BT1G,D,3.3 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 3.3 V,Onsemi,MMSZ522BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ522BT1G,0.5,Zener
D_MMSZ523BT1G,D,5.1 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 5.1 V,Onsemi,MMSZ523BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ523BT1G,0.5,Zener
D_MMSZ524BT1G,D,10.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 10.0 V,Onsemi,MMSZ524BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ524BT1G,0.5,Zener
D_MMSZ525BT1G,D,12.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 12.0 V,Onsemi,MMSZ525BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ525BT1G,0.5,Zener
D_MMSZ526BT1G,D,15.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 15.0 V,Onsemi,MMSZ526BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ526BT1G,0.5,Zener
D_MMSZ527BT1G,D,18.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 18.0 V,Onsemi,MMSZ527BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ527BT1G,0.5,Zener
D_MMSZ528BT1G,D,22.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 22.0 V,Onsemi,MMSZ528BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ528BT1G,0.5,Zener
D_MMSZ529BT1G,D,24.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 24.0 V,Onsemi,MMSZ529BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ529BT1G,0.5,Zener
D_MMSZ5210BT1G,D,27.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 27.0 V,Onsemi,MMSZ5210BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5210BT1G,0.5,Zener
D_MMSZ5211BT1G,D,30.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 30.0 V,Onsemi,MMSZ5211BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5211BT1G,0.5,Zener
D_MMSZ5212BT1G,D,33.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 33.0 V,Onsemi,MMSZ5212BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5212BT1G,0.5,Zener
