Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_RT0805BRA0741R2L,R,41.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA0741R2L,RES SMD 41.2 Ω 0.1% 0805 150V,Yageo,RT0805BRA0741R2L,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA0741R2L
R_RT0805BRA07205RL,R,205 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA07205RL,RES SMD 205 Ω 0.1% 0805 150V,Yageo,RT0805BRA07205RL,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA07205RL
R_RT0805BRA07806RL,R,806 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA07806RL,RES SMD 806 Ω 0.1% 0805 150V,Yageo,RT0805BRA07806RL,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA07806RL
R_RT0805BRA071KL,R,1 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA071KL,RES SMD 1 kΩ 0.1% 0805 150V,Yageo,RT0805BRA071KL,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA071KL
R_RT0805BRA071K5L,R,1.05 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA071K5L,RES SMD 1.05 kΩ 0.1% 0805 150V,Yageo,RT0805BRA071K5L,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA071K5L
R_RT0805BRA071K8L,R,1.8 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA071K8L,RES SMD 1.8 kΩ 0.1% 0805 150V,Yageo,RT0805BRA071K8L,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA071K8L
R_RT0805BRA072KL,R,2 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA072KL,RES SMD 2 kΩ 0.1% 0805 150V,Yageo,RT0805BRA072KL,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA072KL
R_RT0805BRA073KL,R,3 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA073KL,RES SMD 3 kΩ 0.1% 0805 150V,Yageo,RT0805BRA073KL,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA073KL
R_RT0805BRA074K2L,R,4.02 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA074K2L,RES SMD 4.02 kΩ 0.1% 0805 150V,Yageo,RT0805BRA074K2L,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA074K2L
R_RT0805BRA076K8L,R,6.8 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA076K8L,RES SMD 6.8 kΩ 0.1% 0805 150V,Yageo,RT0805BRA076K8L,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA076K8L
R_RT0805BRA078K6L,R,8.06 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA078K6L,RES SMD 8.06 kΩ 0.1% 0805 150V,Yageo,RT0805BRA078K6L,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA078K6L
R_RT0805BRA070M1L,R,10 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA070M1L,RES SMD 10 kΩ 0.1% 0805 150V,Yageo,RT0805BRA070M1L,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA070M1L
R_RT0805BRA070M11L,R,11 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA070M11L,RES SMD 11 kΩ 0.1% 0805 150V,Yageo,RT0805BRA070M11L,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA070M11L
R_RT0805BRA070M12L,R,12 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA070M12L,RES SMD 12 kΩ 0.1% 0805 150V,Yageo,RT0805BRA070M12L,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA070M12L
R_RT0805BRA070M15L,R,15 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA070M15L,RES SMD 15 kΩ 0.1% 0805 150V,Yageo,RT0805BRA070M15L,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA070M15L
R_RT0805BRA070M2L,R,20 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA070M2L,RES SMD 20 kΩ 0.1% 0805 150V,Yageo,RT0805BRA070M2L,0.1%,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA070M2L
