Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_RT0805BRB074R7L,R,4.7 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 4.7 Ω 0.1% 0805 150V,Yageo,RT0805BRB074R7L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB074R7L
R_RT0805BRB074R75L,R,4.75 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 4.75 Ω 0.1% 0805 150V,Yageo,RT0805BRB074R75L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB074R75L
R_RT0805BRB074R87L,R,4.87 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 4.87 Ω 0.1% 0805 150V,Yageo,RT0805BRB074R87L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB074R87L
R_RT0805BRB074R99L,R,4.99 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 4.99 Ω 0.1% 0805 150V,Yageo,RT0805BRB074R99L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB074R99L
R_RT0805BRB075R1L,R,5.1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 5.1 Ω 0.1% 0805 150V,Yageo,RT0805BRB075R1L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB075R1L
R_RT0805BRB075R11L,R,5.11 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 5.11 Ω 0.1% 0805 150V,Yageo,RT0805BRB075R11L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB075R11L
R_RT0805BRB075R23L,R,5.23 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 5.23 Ω 0.1% 0805 150V,Yageo,RT0805BRB075R23L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB075R23L
R_RT0805BRB075R36L,R,5.36 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 5.36 Ω 0.1% 0805 150V,Yageo,RT0805BRB075R36L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB075R36L
R_RT0805BRB075R49L,R,5.49 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 5.49 Ω 0.1% 0805 150V,Yageo,RT0805BRB075R49L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB075R49L
R_RT0805BRB075R6L,R,5.6 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_15.pdf,RES SMD 5.6 Ω 0.1% 0805 150V,Yageo,RT0805BRB075R6L,0.1%,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB075R6L
