Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search
J_TBP02R2-02P,J,2P,footprints:TBP02R2-381-02P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 2P,Same Sky,TBP02R2-02P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-02P
J_TBP02R2-03P,J,3P,footprints:TBP02R2-381-03P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 3P,Same Sky,TBP02R2-03P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-03P
J_TBP02R2-04P,J,4P,footprints:TBP02R2-381-04P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 4P,Same Sky,TBP02R2-04P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-04P
J_TBP02R2-05P,J,5P,footprints:TBP02R2-381-05P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 5P,Same Sky,TBP02R2-05P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-05P
J_TBP02R2-06P,J,6P,footprints:TBP02R2-381-06P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 6P,Same Sky,TBP02R2-06P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-06P
J_TBP02R2-07P,J,7P,footprints:TBP02R2-381-07P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 7P,Same Sky,TBP02R2-07P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-07P
J_TBP02R2-08P,J,8P,footprints:TBP02R2-381-08P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 8P,Same Sky,TBP02R2-08P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-08P
J_TBP02R2-09P,J,9P,footprints:TBP02R2-381-09P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 9P,Same Sky,TBP02R2-09P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-09P
J_TBP02R2-10P,J,10P,footprints:TBP02R2-381-10P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 10P,Same Sky,TBP02R2-10P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-10P
J_TBP02R2-11P,J,11P,footprints:TBP02R2-381-11P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 11P,Same Sky,TBP02R2-11P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-11P
J_TBP02R2-12P,J,12P,footprints:TBP02R2-381-12P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 12P,Same Sky,TBP02R2-12P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-12P
J_TBP02R2-13P,J,13P,footprints:TBP02R2-381-13P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 13P,Same Sky,TBP02R2-13P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-13P
J_TBP02R2-14P,J,14P,footprints:TBP02R2-381-14P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 14P,Same Sky,TBP02R2-14P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-14P
J_TBP02R2-15P,J,15P,footprints:TBP02R2-381-15P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 15P,Same Sky,TBP02R2-15P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-15P
J_TBP02R2-16P,J,16P,footprints:TBP02R2-381-16P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 16P,Same Sky,TBP02R2-16P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-16P
J_TBP02R2-17P,J,17P,footprints:TBP02R2-381-17P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 17P,Same Sky,TBP02R2-17P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-17P
J_TBP02R2-18P,J,18P,footprints:TBP02R2-381-18P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 18P,Same Sky,TBP02R2-18P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-18P
J_TBP02R2-19P,J,19P,footprints:TBP02R2-381-19P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 19P,Same Sky,TBP02R2-19P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-19P
J_TBP02R2-20P,J,20P,footprints:TBP02R2-381-20P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 20P,Same Sky,TBP02R2-20P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-20P
J_TBP02R2-21P,J,21P,footprints:TBP02R2-381-21P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 21P,Same Sky,TBP02R2-21P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-21P
J_TBP02R2-22P,J,22P,footprints:TBP02R2-381-22P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 22P,Same Sky,TBP02R2-22P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-22P
J_TBP02R2-23P,J,23P,footprints:TBP02R2-381-23P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 23P,Same Sky,TBP02R2-23P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-23P
J_TBP02R2-24P,J,24P,footprints:TBP02R2-381-24P,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 24P,Same Sky,TBP02R2-24P,TBP02R2,https://www.trustedparts.com/en/search/TBP02R2-24P
