Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count
J_TBP02R2-381-02BE,J,TBP02R2-381-02BE,footprints:TBP02R2-381-02BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 2BE 3.81mm pitch,Same Sky,TBP02R2-381-02BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-02BE,Blue,3.81,2
J_TBP02R2-381-03BE,J,TBP02R2-381-03BE,footprints:TBP02R2-381-03BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 3BE 3.81mm pitch,Same Sky,TBP02R2-381-03BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-03BE,Blue,3.81,3
J_TBP02R2-381-04BE,J,TBP02R2-381-04BE,footprints:TBP02R2-381-04BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 4BE 3.81mm pitch,Same Sky,TBP02R2-381-04BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-04BE,Blue,3.81,4
J_TBP02R2-381-05BE,J,TBP02R2-381-05BE,footprints:TBP02R2-381-05BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 5BE 3.81mm pitch,Same Sky,TBP02R2-381-05BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-05BE,Blue,3.81,5
J_TBP02R2-381-06BE,J,TBP02R2-381-06BE,footprints:TBP02R2-381-06BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 6BE 3.81mm pitch,Same Sky,TBP02R2-381-06BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-06BE,Blue,3.81,6
J_TBP02R2-381-07BE,J,TBP02R2-381-07BE,footprints:TBP02R2-381-07BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 7BE 3.81mm pitch,Same Sky,TBP02R2-381-07BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-07BE,Blue,3.81,7
J_TBP02R2-381-08BE,J,TBP02R2-381-08BE,footprints:TBP02R2-381-08BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 8BE 3.81mm pitch,Same Sky,TBP02R2-381-08BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-08BE,Blue,3.81,8
J_TBP02R2-381-09BE,J,TBP02R2-381-09BE,footprints:TBP02R2-381-09BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 9BE 3.81mm pitch,Same Sky,TBP02R2-381-09BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-09BE,Blue,3.81,9
J_TBP02R2-381-10BE,J,TBP02R2-381-10BE,footprints:TBP02R2-381-10BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 10BE 3.81mm pitch,Same Sky,TBP02R2-381-10BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-10BE,Blue,3.81,10
J_TBP02R2-381-12BE,J,TBP02R2-381-12BE,footprints:TBP02R2-381-12BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 12BE 3.81mm pitch,Same Sky,TBP02R2-381-12BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-12BE,Blue,3.81,12
J_TBP02R2-381-14BE,J,TBP02R2-381-14BE,footprints:TBP02R2-381-14BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 14BE 3.81mm pitch,Same Sky,TBP02R2-381-14BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-14BE,Blue,3.81,14
J_TBP02R2-381-16BE,J,TBP02R2-381-16BE,footprints:TBP02R2-381-16BE,https://www.sameskydevices.com/product/resource/tbp02r2-381.pdf,CONNECTOR 16BE 3.81mm pitch,Same Sky,TBP02R2-381-16BE,TBP02R2-381,https://www.trustedparts.com/en/search/TBP02R2-381-16BE,Blue,3.81,16
