Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Maximum DC Current (A),Diode Type
D_DFLS1200-7,D,100.0 V,diode_footprints:PowerDI_123,https://www.diodes.com/datasheet/download/DFLS1200.pdf,DIODE SMD 100.0 V,Diodes Incorporated,DFLS1200-7,DFLS1200-7,https://www.trustedparts.com/en/search/DFLS1200-7,1.2,Schottky
D_MMSZ5221BT1G,D,3.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 3.0 V,Onsemi,MMSZ5221BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5221BT1G,0.5,Zener
D_MMSZ5222BT1G,D,3.3 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 3.3 V,Onsemi,MMSZ5222BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5222BT1G,0.5,Zener
D_MMSZ5223BT1G,D,5.1 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 5.1 V,Onsemi,MMSZ5223BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5223BT1G,0.5,Zener
D_MMSZ5224BT1G,D,10.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 10.0 V,Onsemi,MMSZ5224BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5224BT1G,0.5,Zener
D_MMSZ5225BT1G,D,12.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 12.0 V,Onsemi,MMSZ5225BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5225BT1G,0.5,Zener
D_MMSZ5226BT1G,D,15.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 15.0 V,Onsemi,MMSZ5226BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5226BT1G,0.5,Zener
D_MMSZ5227BT1G,D,18.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 18.0 V,Onsemi,MMSZ5227BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5227BT1G,0.5,Zener
D_MMSZ5228BT1G,D,22.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 22.0 V,Onsemi,MMSZ5228BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5228BT1G,0.5,Zener
D_MMSZ5229BT1G,D,24.0 V,diode_footprints:PowerDI_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,DIODE SMD 24.0 V,Onsemi,MMSZ5229BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5229BT1G,0.5,Zener
