Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_ERJ-2RKF10R0X,R,10 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10 Ω 1% 0402 50V,Panasonic,ERJ-2RKF10R0X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF10R0X
R_ERJ-2RKF1000X,R,100 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 100 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1000X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1000X
R_ERJ-2RKF1001X,R,1 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1001X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1001X
R_ERJ-2RKF1002X,R,10 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1002X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1002X
R_ERJ-2RKF1003X,R,100 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 100 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1003X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1003X
R_ERJ-2RKF1004X,R,1 MΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1 MΩ 1% 0402 50V,Panasonic,ERJ-2RKF1004X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1004X
R_ERJ-2RKF10R2X,R,10.2 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.2 Ω 1% 0402 50V,Panasonic,ERJ-2RKF10R2X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF10R2X
R_ERJ-2RKF1020X,R,102 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 102 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1020X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1020X
R_ERJ-2RKF1021X,R,1.02 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.02 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1021X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1021X
R_ERJ-2RKF1022X,R,10.2 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.2 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1022X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1022X
R_ERJ-2RKF1023X,R,102 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 102 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1023X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1023X
R_ERJ-2RKF10R5X,R,10.5 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.5 Ω 1% 0402 50V,Panasonic,ERJ-2RKF10R5X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF10R5X
R_ERJ-2RKF1050X,R,105 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 105 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1050X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1050X
R_ERJ-2RKF1051X,R,1.05 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.05 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1051X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1051X
R_ERJ-2RKF1052X,R,10.5 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.5 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1052X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1052X
R_ERJ-2RKF1053X,R,105 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 105 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1053X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1053X
R_ERJ-2RKF10R7X,R,10.7 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.7 Ω 1% 0402 50V,Panasonic,ERJ-2RKF10R7X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF10R7X
R_ERJ-2RKF1070X,R,107 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 107 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1070X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1070X
R_ERJ-2RKF1071X,R,1.07 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.07 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1071X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1071X
R_ERJ-2RKF1072X,R,10.7 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.7 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1072X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1072X
R_ERJ-2RKF1073X,R,107 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 107 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1073X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1073X
R_ERJ-2RKF11R0X,R,11 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11 Ω 1% 0402 50V,Panasonic,ERJ-2RKF11R0X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF11R0X
R_ERJ-2RKF1100X,R,110 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 110 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1100X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1100X
R_ERJ-2RKF1101X,R,1.1 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.1 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1101X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1101X
R_ERJ-2RKF1102X,R,11 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1102X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1102X
R_ERJ-2RKF1103X,R,110 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 110 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1103X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1103X
R_ERJ-2RKF11R3X,R,11.3 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.3 Ω 1% 0402 50V,Panasonic,ERJ-2RKF11R3X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF11R3X
R_ERJ-2RKF1130X,R,113 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 113 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1130X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1130X
R_ERJ-2RKF1131X,R,1.13 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.13 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1131X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1131X
R_ERJ-2RKF1132X,R,11.3 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.3 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1132X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1132X
R_ERJ-2RKF1133X,R,113 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 113 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1133X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1133X
R_ERJ-2RKF11R5X,R,11.5 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.5 Ω 1% 0402 50V,Panasonic,ERJ-2RKF11R5X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF11R5X
R_ERJ-2RKF1150X,R,115 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 115 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1150X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1150X
R_ERJ-2RKF1151X,R,1.15 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.15 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1151X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1151X
R_ERJ-2RKF1152X,R,11.5 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.5 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1152X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1152X
R_ERJ-2RKF1153X,R,115 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 115 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1153X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1153X
R_ERJ-2RKF11R8X,R,11.8 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.8 Ω 1% 0402 50V,Panasonic,ERJ-2RKF11R8X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF11R8X
R_ERJ-2RKF1180X,R,118 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 118 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1180X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1180X
