Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search
L_XAL7030-161ME,L,160 nH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 160 nH ±20% AEC-Q200,Coilcraft,XAL7030-161ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-161ME
L_XAL7030-301ME,L,300 nH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 300 nH ±20% AEC-Q200,Coilcraft,XAL7030-301ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-301ME
L_XAL7030-601ME,L,600 nH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 600 nH ±20% AEC-Q200,Coilcraft,XAL7030-601ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-601ME
L_XAL7030-102ME,L,1 µH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 1 µH ±20% AEC-Q200,Coilcraft,XAL7030-102ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-102ME
L_XAL7030-152ME,L,1.5 µH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 1.5 µH ±20% AEC-Q200,Coilcraft,XAL7030-152ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-152ME
L_XAL7030-222ME,L,2.2 µH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 2.2 µH ±20% AEC-Q200,Coilcraft,XAL7030-222ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-222ME
L_XAL7030-272ME,L,2.7 µH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 2.7 µH ±20% AEC-Q200,Coilcraft,XAL7030-272ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-272ME
L_XAL7030-332ME,L,3.3 µH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 3.3 µH ±20% AEC-Q200,Coilcraft,XAL7030-332ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-332ME
L_XAL7030-472ME,L,4.7 µH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 4.7 µH ±20% AEC-Q200,Coilcraft,XAL7030-472ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-472ME
L_XAL7030-562ME,L,5.6 µH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 5.6 µH ±20% AEC-Q200,Coilcraft,XAL7030-562ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-562ME
L_XAL7030-682ME,L,6.8 µH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 6.8 µH ±20% AEC-Q200,Coilcraft,XAL7030-682ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-682ME
L_XAL7030-822ME,L,8.2 µH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 8.2 µH ±20% AEC-Q200,Coilcraft,XAL7030-822ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-822ME
L_XAL7030-103ME,L,10 µH,footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 10 µH ±20% AEC-Q200,Coilcraft,XAL7030-103ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-103ME
