Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Inductance,Tolerance,DCR Max,Idc Rated,Idc Saturated,Series,Height,TrustedParts Search
L_XFL3012-R47MEC,L,470nH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 470nH ±20% 1.2mm RATED 5.50A AEC-Q200,Coilcraft,XFL3012-R47MEC,470nH,±20%,18.0mΩ,5.50A,7.00A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2DR47MEC
L_XFL3012-R68MEC,L,680nH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 680nH ±20% 1.2mm RATED 4.60A AEC-Q200,Coilcraft,XFL3012-R68MEC,680nH,±20%,23.0mΩ,4.60A,6.00A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2DR68MEC
L_XFL3012-1R0MEC,L,1.0µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 1.0µH ±20% 1.2mm RATED 3.80A AEC-Q200,Coilcraft,XFL3012-1R0MEC,1.0µH,±20%,29.0mΩ,3.80A,5.00A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D1R0MEC
L_XFL3012-1R5MEC,L,1.5µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 1.5µH ±20% 1.2mm RATED 3.20A AEC-Q200,Coilcraft,XFL3012-1R5MEC,1.5µH,±20%,38.0mΩ,3.20A,4.20A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D1R5MEC
L_XFL3012-2R2MEC,L,2.2µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 2.2µH ±20% 1.2mm RATED 2.70A AEC-Q200,Coilcraft,XFL3012-2R2MEC,2.2µH,±20%,52.0mΩ,2.70A,3.50A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D2R2MEC
L_XFL3012-3R3MEC,L,3.3µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 3.3µH ±20% 1.2mm RATED 2.20A AEC-Q200,Coilcraft,XFL3012-3R3MEC,3.3µH,±20%,76.0mΩ,2.20A,2.90A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D3R3MEC
L_XFL3012-4R7MEC,L,4.7µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 4.7µH ±20% 1.2mm RATED 1.85A AEC-Q200,Coilcraft,XFL3012-4R7MEC,4.7µH,±20%,105mΩ,1.85A,2.40A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D4R7MEC
L_XFL3012-6R8MEC,L,6.8µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 6.8µH ±20% 1.2mm RATED 1.55A AEC-Q200,Coilcraft,XFL3012-6R8MEC,6.8µH,±20%,150mΩ,1.55A,2.00A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D6R8MEC
L_XFL3012-100MEC,L,10.0µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 10.0µH ±20% 1.2mm RATED 1.30A AEC-Q200,Coilcraft,XFL3012-100MEC,10.0µH,±20%,220mΩ,1.30A,1.70A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D100MEC
L_XFL3012-150MEC,L,15.0µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 15.0µH ±20% 1.2mm RATED 1.05A AEC-Q200,Coilcraft,XFL3012-150MEC,15.0µH,±20%,320mΩ,1.05A,1.40A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D150MEC
L_XFL3012-220MEC,L,22.0µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 22.0µH ±20% 1.2mm RATED 0.87A AEC-Q200,Coilcraft,XFL3012-220MEC,22.0µH,±20%,460mΩ,0.87A,1.15A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D220MEC
L_XFL3012-330MEC,L,33.0µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 33.0µH ±20% 1.2mm RATED 0.71A AEC-Q200,Coilcraft,XFL3012-330MEC,33.0µH,±20%,670mΩ,0.71A,0.94A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D330MEC
L_XFL3012-470MEC,L,47.0µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 47.0µH ±20% 1.2mm RATED 0.59A AEC-Q200,Coilcraft,XFL3012-470MEC,47.0µH,±20%,950mΩ,0.59A,0.78A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D470MEC
L_XFL3012-680MEC,L,68.0µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 68.0µH ±20% 1.2mm RATED 0.49A AEC-Q200,Coilcraft,XFL3012-680MEC,68.0µH,±20%,1350mΩ,0.49A,0.65A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D680MEC
L_XFL3012-104MEC,L,100.0µH,footprints:L_Coilcraft_XFL3012,https://www.coilcraft.com/en-us/products/xfl3012/,INDUCTOR SMD 100.0µH ±20% 1.2mm RATED 0.39A AEC-Q200,Coilcraft,XFL3012-104MEC,100.0µH,±20%,3000mΩ,0.39A,0.54A,XFL3012,1.2mm,https://www.trustedparts.com/en/search/Coilcraft/XFL3012%2D104MEC
